datetime,machineID,volt,rotate,pressure,vibration,age,Failure
2015-03-24 04:00:00,40,169.88876846624,414.225224471247,94.52356002541,36.4036506392217,4,0
2015-02-13 12:00:00,30,177.178317651708,440.81288295577,133.026995329945,38.6617423021319,20,0
2015-10-18 12:00:00,74,185.032970060384,349.245928467803,90.0801987705332,37.3102441126543,4,0
2015-12-14 12:00:00,9,179.489255158154,399.386776459284,97.079579716523,43.3555905959805,7,0
2015-08-29 14:00:00,47,143.498535302795,511.427940614472,110.725288548564,39.2086726458642,6,0
2015-12-31 20:00:00,39,177.681013885667,434.324168590534,113.383927081902,41.8604809512333,0,0
2015-07-30 06:00:00,17,196.890819122065,462.569163759115,115.743080266198,42.9255845447276,14,1
2015-11-30 02:00:00,28,200.560111776841,476.676810619281,92.3376973732806,44.8572200129771,1,0
2015-05-11 00:00:00,79,173.286263410821,467.372660798873,87.8400378074562,48.9413100367244,14,0
2015-01-20 06:00:00,15,192.213961597589,341.783088916382,94.9038211390681,40.6799921111742,14,1
2015-10-24 14:00:00,62,174.989038029746,513.490251452482,98.7143147775699,39.9115543010072,20,0
2015-07-11 13:00:00,16,173.724772796009,421.245289539758,97.9424137365038,36.2895082163582,3,0
2015-10-18 11:00:00,6,170.156879047368,472.277397970919,110.102495896419,40.6442702269491,7,0
2015-05-07 00:00:00,73,167.208233768504,512.419171634673,85.3290645645556,35.2766510792851,20,0
2015-12-06 14:00:00,26,171.034349136412,499.09901843746,110.054781343065,47.0223234862096,3,0
2015-06-18 23:00:00,96,162.112997921155,488.839508488918,98.791373645793,41.6372928961506,10,0
2015-01-24 06:00:00,97,203.907877042042,412.513797819794,132.485386554878,52.290860001245,14,1
2015-04-08 13:00:00,48,216.419942190332,424.506154486685,115.932260192142,31.1184090506042,10,0
2015-12-27 06:00:00,56,199.888721465512,500.423607533409,80.5438664902521,46.211218442287,10,0
2015-08-12 13:00:00,88,165.196488603181,403.494409741136,101.003593560439,42.5658182818434,14,0
2015-12-20 16:00:00,57,149.54967611242,424.164955005463,91.0292232846719,33.8058508272928,10,0
2015-01-12 22:00:00,57,175.312983716434,550.615561936831,107.335941311938,41.29684378867,10,0
2015-06-07 04:00:00,25,166.793232353417,481.363630635027,90.7757915774125,44.4024227232999,16,0
2015-09-30 21:00:00,13,162.448311840619,529.905174042223,96.5114205060075,37.9250380072366,15,0
